Timestamp,Motion_Yaw,Motion_WorldPositionZ,Motion_WorldPositionY,Motion_WorldPositionX,Throttle,Steer,Speed,Motion_Roll,Motion_Pitch,Gear,Motion_GForceVertical,Motion_GForceLongitudinal,Motion_GForceLateral,EngineTemp,EngineRPM,Brake,LapNumber
1612191239000000000,1.0411593483553991,-566.8222588433159,97.08546574910481,-114.46876017252605,0,1,113.44444444444444,0.03044940075940556,-0.031337334050072566,3.388888888888889,-0.028856378307359085,-1.255612623360422,-2.2771683600213795,90,7962.555555555556,0.6703286944992013,2
1612191240000000000,0.27619409213136686,-547.3749261153372,97.2527413619192,-97.9540128205952,0.21305966063549645,1,88.10526315789474,0.026228546606082665,-0.023547128627174778,2.1052631578947367,-0.021438744899473693,-0.08793639923494898,-2.0972635181326615,90,8518.368421052632,0,2
1612191241000000000,-0.44039849309544815,-522.3103669819079,96.58991964239823,-101.86526168020148,0.6153770214632938,0.21052631578947367,103.36842105263158,0.0098897044939038,-0.02305912971496582,2.1052631578947367,-0.016381976635832535,0.8881289394278276,-0.9939140266689815,90,10233.263157894737,0,2
1612191242000000000,-0.48518113957511055,-491.2785932752821,95.39160241021051,-118.93307961357965,0.9844194187058343,-0.5555555555555556,150.16666666666666,0.006842383054188556,-0.02107936143875122,3.5555555555555554,0.00966660889227771,1.4811758597691853,0.37610600226455265,90,10729.611111111111,0,2
1612191243000000000,-0.36412738925880855,-448.5713873969184,93.82020102606879,-138.533206515842,1,-0.3888888888888889,194.83333333333334,0.002921978746599052,-0.014389574527740479,4.666666666666667,0.004998556855652068,1.1569166779518127,0.8450391127003564,90,11134.055555555555,0,2
1612191244000000000,-0.25388006269931795,-392.36893463134766,92.88764877319336,-155.97202224731444,1,-0.45,227.8,-0.021561071462929248,0.021678072214126588,5.75,0.23377322999294847,0.8242806255817413,0.6732063146308065,90,10923.35,0,2
1612191245000000000,-0.15304243799887204,-325.6264246890419,93.20044346859581,-169.67424894634047,1,-0.42105263157894735,252.21052631578948,-0.020230810746158425,0.02054656179327714,6.157894736842105,-0.02018976265466527,0.5262492299079895,0.6201047726759785,90,11343.105263157895,0,2
1612191246000000000,-0.04581767548289564,-253.8735834757487,93.22383838229709,-176.84068467881946,1,-0.16666666666666666,269.1111111111111,-0.021561709956990346,0.021587345335218642,7,-0.004037563482092487,0.4571594049533208,0.5473136919447117,90,10823.611111111111,0,2
1612191247000000000,-0.02399028620372216,-178.1607437133789,93.18161858452692,-179.12093946668836,1,0,283.94444444444446,-0.024241758613950677,0.024244407812754314,7,0.007541223894804716,0.390390502081977,-0.0004529958176943991,90,11417.055555555555,0,2
1612191248000000000,-0.04775067336029477,-98.25649070739746,93.16524971856012,-181.82978905571832,1,0.2222222222222222,295.3333333333333,-0.02487625999169217,0.024896211094326444,7.611111111111111,-0.0020105292399724326,0.2943372362189823,-0.21563843950732714,90,11060.277777777777,0,2
